Unnamed: 0,total_voxels,l_e_f_t,r_i_g_h_t
s0212,217704,108934,108770
s0213,12964,7140,5824
s0216,152338,78682,73656
s0218,205523,101876,103647
s0220,3844,271,3573
s0221,46915,25532,21383
s0224,290731,147476,143255
s0227,185055,91602,93453
s0228,208461,104162,104299
s0229,135520,76608,58912
s0232,219059,109685,109374
s0233,29523,13533,15990
s0235,142234,70247,71987
s0236,310925,155340,155585
s0238,163513,83124,80389
s0239,226971,117260,109711
s0242,185751,92220,93531
s0243,248234,123075,125159
s0244,263382,132516,130866
s0246,40405,24458,15947
s0248,191479,96262,95217
s0250,251215,123709,127506
s0252,137294,79971,57323
s0253,29800,15389,14411
s0255,207941,101846,106095
s0256,1794,1337,457
s0257,199217,101239,97978
s0260,190191,86850,103341
s0261,209652,106394,103258
s0264,2257,1604,653
s0275,131569,66102,65467
s0283,7154,3804,3350
s0286,27844,16715,11129
s0287,238605,119596,119009
s0291,149770,74253,75517
s0293,233941,117905,116036
s0298,248830,121372,127458
s0300,213486,105088,108398
s0301,204282,107560,96722
s0304,209674,101879,107795
s0306,216914,108053,108861
s0307,170698,86118,84580
s0308,233688,117201,116487
s0311,237870,120035,117835
s0313,61648,35324,26324
s0314,249143,122020,127123
s0315,1771,1525,246
s0316,46738,23911,22827
s0319,282998,139234,143764
s0320,267049,135303,131746
s0321,176660,99460,77200
s0324,131707,65272,66435
s0325,195795,98768,97027
s0327,259155,128409,130746
s0328,241019,122200,118819
s0329,218656,108713,109943
s0332,238980,119256,119724
s0334,240516,120189,120327
s0339,182927,90763,92164
s0341,265366,134826,130540
s0342,252902,127598,125304
s0343,4495,2148,2347
s0344,191169,95573,95596
s0345,269645,135727,133918
s0350,224386,112857,111529
s0353,18425,8236,10189
s0355,286985,142089,144896
s0358,187471,91907,95564
s0360,54648,29735,24913
s0361,259755,129065,130690
s0362,271766,134487,137279
s0366,140730,69335,71395
s0369,207408,103552,103856
s0370,269996,134625,135371
s0371,5028,3891,1137
s0372,3281,1526,1755
s0375,210476,106105,104371
s0376,2,2,0
s0381,189717,94919,94798
s0383,196108,98042,98066
s0385,238178,117928,120250
s0390,262079,130139,131940
s0399,185722,95052,90670
s0401,146824,74154,72670
s0402,239030,121667,117363
s0403,232935,117462,115473
s0406,266734,133940,132794
s0408,222921,110724,112197
s0416,246804,123761,123043
s0418,92247,48707,43540
s0419,229421,117899,111522
s0423,311451,155590,155861
s0425,18,9,9
s0426,215480,107585,107895
s0428,186036,93140,92896
s0429,170222,85758,84464
s0431,553,56,497
s0436,207265,103590,103675
s0440,169278,85664,83614
s0441,223257,111993,111264
s0442,258537,130574,127963
s0443,99285,51991,47294
s0446,184734,94034,90700
s0447,192390,96451,95939
s0450,253606,125848,127758
s0454,257423,128491,128932
s0456,171366,85195,86171
s0458,204947,103238,101709
s0461,214796,107681,107115
s0462,149231,74656,74575
s0467,225802,112166,113636
s0468,291596,147149,144447
s0472,160046,80727,79319
s0473,199088,97892,101196
s0475,191167,99805,91362
s0476,239390,119447,119943
s0477,180173,90005,90168
s0480,238243,122875,115368
s0483,251156,124616,126540
s0484,210563,106794,103769
s0492,133055,67887,65168
s0494,185204,93026,92178
s0495,168744,82940,85804
s0499,153070,77099,75971
s0500,275785,137698,138087
s0502,241110,121622,119488
s0505,284187,141950,142237
s0506,263389,125152,138237
s0507,253651,123374,130277
s0509,259535,130039,129496
s0511,1602,1602,0
s0513,209787,105820,103967
s0516,236223,117842,118381
s0519,220044,109275,110769
s0525,31818,15096,16722
s0529,211123,106875,104248
s0536,238748,119301,119447
s0541,255346,128558,126788
s0542,240118,120906,119212
s0543,241840,122236,119604
s0545,88801,40563,48238
s0546,292546,147697,144849
s0548,299671,150919,148752
s0549,273422,137481,135941
s0550,258005,129908,128097
s0551,173475,85538,87937
s0553,159167,79972,79195
s0556,3047,2577,470
s0560,10944,6681,4263
s0561,197116,98458,98658
s0564,190905,95064,95841
s0566,264181,132469,131712
s0571,181790,91166,90624
s0573,216161,107315,108846
s0574,273200,135610,137590
s0577,235484,116715,118769
s0578,175640,89008,86632
s0579,47945,23770,24175
s0581,201281,99962,101319
s0583,173009,86084,86925
s0584,207017,103357,103660
s0585,249440,123711,125729
s0586,185684,92707,92977
s0587,247849,125742,122107
s0589,176388,88986,87402
s0590,53074,28380,24694
s0591,197799,100956,96843
s0592,172264,86902,85362
s0593,189111,95037,94074
s0600,300933,148127,152806
s0601,217687,110790,106897
s0602,163785,79223,84562
s0603,173340,87405,85935
s0607,266299,132730,133569
s0611,231638,116425,115213
s0612,196355,100728,95627
s0613,231800,116204,115596
s0614,189604,94811,94793
s0616,239737,119599,120138
s0617,220007,111924,108083
s0619,199526,98469,101057
s0620,257834,124619,133215
s0621,277254,139238,138016
s0623,297591,149783,147808
s0624,246989,120667,126322
s0625,201848,100650,101198
s0626,182099,92491,89608
s0628,231409,116104,115305
s0629,238795,119307,119488
s0633,52455,52455,0
s0635,201913,100034,101879
s0636,188387,94978,93409
s0637,215603,108174,107429
s0639,240958,118931,122027
s0640,104008,49872,54136
s0644,171599,85422,86177
s0646,246526,119594,126932
s0647,96339,46149,50190
s0648,214083,108995,105088
s0649,178202,88211,89991
s0650,247928,125219,122709
s0656,183439,92045,91394
s0657,305300,157788,147512
s0661,174326,86883,87443
s0662,260319,127964,132355
s0663,209804,104771,105033
s0664,226701,113135,113566
s0666,81282,42356,38926
s0667,338150,167942,170208
s0668,185475,91939,93536
s0669,242767,121494,121273
s0670,222866,113515,109351
s0673,239623,118451,121172
s0677,66721,32293,34428
s0679,5119,4745,374
s0680,260872,131995,128877
s0682,262477,131487,130990
s0683,291220,144937,146283
s0685,225443,113226,112217
s0686,227883,114300,113583
s0687,186048,91739,94309
s0690,180415,89116,91299
s0692,281564,139949,141615
s0693,11279,7825,3454
s0694,243618,121318,122300
s0699,173919,85687,88232
s0700,34690,15151,19539
s0702,281486,139549,141937
s0703,317231,158462,158769
s0705,234311,115824,118487
s0707,331878,165578,166300
s0708,140450,70394,70056
s0709,9640,5768,3872
s0711,245322,122826,122496
s0712,190136,95952,94184
s0720,234851,119282,115569
s0721,163831,81873,81958
s0723,188613,93063,95550
s0724,236321,118737,117584
s0726,191235,94922,96313
s0727,172085,85548,86537
s0728,175396,88670,86726
s0730,80949,40010,40939
s0731,169017,83737,85280
s0732,2759,1726,1033
s0733,225066,111811,113255
s0737,190720,97402,93318
s0739,240593,118963,121630
s0740,4351,2512,1839
s0741,28313,17110,11203
s0744,360,0,360
s0746,224515,112414,112101
s0749,238042,120056,117986
s0751,289737,146099,143638
s0754,300014,150873,149141
s0760,198188,97839,100349
s0762,195943,97379,98564
s0763,211945,104273,107672
s0764,261712,131698,130014
s0765,137519,67489,70030
s0768,206237,104880,101357
s0772,259983,129135,130848
s0774,180245,90352,89893
s0776,280456,144067,136389
s0777,166811,85036,81775
s0778,259177,130955,128222
s0783,66509,64690,1819
s0788,11089,5506,5583
s0790,128584,64994,63590
s0794,259946,132377,127569
s0796,225817,113069,112748
s0797,237469,116351,121118
s0800,12130,5961,6169
s0801,229608,114470,115138
s0804,182125,85546,96579
s0806,281925,140920,141005
s0807,223455,110384,113071
s0812,158340,78475,79865
s0815,289390,150873,138517
s0818,206193,101149,105044
s0819,199744,101001,98743
s0830,290957,146219,144738
s0831,279213,140550,138663
s0835,197594,100281,97313
s0836,225707,113146,112561
s0837,424,381,43
s0842,222984,111607,111377
s0846,2,2,0
s0850,51756,51663,93
s0859,227781,112333,115448
s0860,203653,101739,101914
s0861,198015,99573,98442
s0862,253038,125643,127395
s0863,202962,101211,101751
s0864,156942,77478,79464
s0869,278002,140197,137805
s0873,206101,102970,103131
s0878,210807,105141,105666
s0880,238490,119330,119160
s0884,252170,126720,125450
s0885,266461,132192,134269
s0894,216869,106440,110429
s0895,207188,102754,104434
s0896,132133,66967,65166
s0899,243878,122265,121613
s0903,212760,108611,104149
s0904,233237,116668,116569
s0907,238713,118569,120144
s0912,260738,129560,131178
s0913,222747,110042,112705
s0915,232515,117873,114642
s0916,251336,124857,126479
s0918,259362,126673,132689
s0919,198119,99450,98669
s0921,139122,71222,67900
s0923,173186,86587,86599
s0924,204579,101235,103344
s0927,198515,99577,98938
s0928,228162,112293,115869
s0931,218140,110401,107739
s0933,252389,127685,124704
s0934,15316,11018,4298
s0937,293956,147687,146269
s0938,133286,67121,66165
s0939,272059,135562,136497
s0940,255625,129178,126447
s0943,151055,79319,71736
s0944,210525,102192,108333
s0945,167252,83115,84137
s0947,213216,108148,105068
s0950,204657,102145,102512
s0951,245115,123472,121643
s0952,17241,5404,11837
s0957,209663,104366,105297
s0959,147750,73905,73845
s0961,195534,99157,96377
s0962,165071,82079,82992
s0963,175482,85655,89827
s0965,154922,78116,76806
s0970,100774,50088,50686
s0971,278146,136623,141523
s0979,304035,150926,153109
s0981,262910,130847,132063
s0982,347057,173124,173933
s0983,236387,119076,117311
s0985,196939,99356,97583
s0986,211418,105327,106091
s0988,296150,143950,152200
s0991,202906,102762,100144
s0992,197002,100046,96956
s0994,266066,133107,132959
s1000,135464,67537,67927
s1005,251999,133977,118022
s1006,204383,101685,102698
s1008,196922,97861,99061
s1009,257053,128804,128249
s1012,235757,115903,119854
s1016,322998,163072,159926
s1018,11848,3114,8734
s1020,146403,62530,83873
s1022,300415,151319,149096
s1024,191474,95275,96199
s1028,5555,1179,4376
s1029,182170,90960,91210
s1031,221424,110736,110688
s1037,194902,98637,96265
s1038,214513,109235,105278
s1041,219934,107237,112697
s1044,276173,138962,137211
s1045,246277,122569,123708
s1046,299278,150048,149230
s1050,226473,111605,114868
s1053,73871,66874,6997
s1057,205984,102290,103694
s1061,152364,77664,74700
s1062,263303,133246,130057
s1063,101836,49970,51866
s1065,114246,55340,58906
s1068,76206,41721,34485
s1069,224171,113041,111130
s1070,193953,96333,97620
s1082,107059,54771,52288
s1085,263995,134815,129180
s1086,248361,124287,124074
s1088,180554,94274,86280
s1089,248639,124504,124135
s1090,278902,140020,138882
s1098,206421,102715,103706
s1099,168516,83978,84538
s1102,6230,872,5358
s1103,280966,141799,139167
s1104,107234,57245,49989
s1105,187371,92263,95108
s1111,228310,113828,114482
s1120,190144,96849,93295
s1121,157335,77871,79464
s1123,73336,34946,38390
s1124,238937,118351,120586
s1125,281193,144846,136347
s1127,216854,107111,109743
s1128,210781,107759,103022
s1130,255335,128290,127045
s1131,180870,91801,89069
s1135,254435,127773,126662
s1136,212194,107400,104794
s1137,270700,122837,147863
s1141,230083,116360,113723
s1143,304176,153640,150536
s1145,158953,75962,82991
s1149,235216,119406,115810
s1151,231880,118171,113709
s1152,177319,85215,92104
s1153,5476,2727,2749
s1156,83270,79467,3803
s1159,157493,78357,79136
s1161,145170,74999,70171
s1163,1,1,0
s1165,5002,2643,2359
s1170,58784,57115,1669
s1171,24137,7115,17022
s1174,255948,128373,127575
s1178,94082,48302,45780
s1183,238186,118595,119591
s1187,234758,117132,117626
s1189,6793,6380,413
s1205,11217,6189,5028
s1206,169673,87438,82235
s1207,172721,85490,87231
s1208,198406,98583,99823
s1209,274650,137077,137573
s1210,222756,110344,112412
s1212,189203,93931,95272
s1216,193389,99395,93994
s1223,204862,104748,100114
s1224,253527,127318,126209
s1228,186104,94243,91861
s1230,278114,144067,134047
s1233,190315,95518,94797
s1234,149113,75415,73698
s1235,35375,18753,16622
s1236,28392,10205,18187
s1238,232385,116383,116002
s1240,10379,5157,5222
s1241,51362,34537,16825
s1244,262869,131123,131746
s1246,122167,60866,61301
s1247,181626,89804,91822
s1248,178883,86219,92664
s1249,231880,117659,114221
s1251,282427,142281,140146
s1252,187093,94793,92300
s1256,166297,82721,83576
s1257,13921,9410,4511
s1262,23485,14274,9211
s1264,23880,13601,10279
s1267,243379,122027,121352
s1273,261548,129861,131687
s1276,187113,92914,94199
s1279,38934,38934,0
s1283,174399,87164,87235
s1285,3648,1217,2431
s1287,262905,133597,129308
s1291,206433,104432,102001
s1293,211653,106067,105586
s1294,166238,81528,84710
s1297,208240,104997,103243
s1301,306513,144617,161896
s1303,80136,80136,0
s1304,179697,90623,89074
s1305,1025,116,909
s1307,262118,131291,130827
s1309,239911,124450,115461
s1310,182992,92661,90331
s1314,132518,66331,66187
s1315,8812,2074,6738
s1319,202402,102081,100321
s1321,151107,75880,75227
s1322,206234,103269,102965
s1326,247409,124763,122646
s1331,211763,106336,105427
s1332,63466,28977,34489
s1334,331190,161652,169538
s1336,212821,105277,107544
s1339,165576,83092,82484
s1340,273905,138006,135899
s1342,156725,80613,76112
s1344,179865,91782,88083
s1347,230457,116387,114070
s1348,237686,118294,119392
s1349,276061,140949,135112
s1350,143633,72850,70783
s1354,10764,4732,6032
s1355,176583,86527,90056
s1357,234856,118432,116424
s1358,207540,103111,104429
s1359,73860,3138,70722
s1361,294658,146496,148162
s1362,235775,117874,117901
s1363,184372,92751,91621
s1364,240007,119018,120989
s1365,217163,106301,110862
s1366,167684,83641,84043
s1367,126240,63953,62287
s1368,218808,109538,109270
s1369,165199,83253,81946
s1371,264143,128827,135316
s1372,277663,137715,139948
s1373,228789,115264,113525
s1374,265226,130882,134344
s1375,119706,62969,56737
s1377,228490,114265,114225
s1378,107658,51601,56057
s1379,275257,137940,137317
s1380,176309,88604,87705
s1382,284131,140570,143561
s1383,296855,151818,145037
s1384,121793,61747,60046
s1385,175123,87329,87794
s1386,296157,149262,146895
s1387,295582,148041,147541
s1388,142306,70378,71928
s1390,325682,162735,162947
s1391,237707,118617,119090
s1394,250815,125453,125362
s1395,214763,108506,106257
s1397,270160,136516,133644
s1399,125565,68521,57044
s1400,259466,127825,131641
s1401,204935,102788,102147
s1403,263270,131490,131780
s1404,178844,90261,88583
s1405,214160,108538,105622
s1407,57,0,57
s1411,219609,109776,109833
s1412,221320,111053,110267
s1413,223385,109575,113810
s1414,180965,90087,90878
s1415,167684,85412,82272
s1418,140378,69366,71012
s1421,264157,132696,131461
s1422,181061,91714,89347
s1423,167659,81568,86091
s1424,212278,103919,108359
s1425,5060,3957,1103
s1426,3536,1618,1918
s1427,8356,5368,2988
s1429,132851,65953,66898
